order_id,customer_id,product_id,quantity,amount_cents,currency,order_ts,status,channel
o000001,c00425,SKU0288,3,1413,USD,2026-03-02T01:43:57,completed,web
o000002,c00953,SKU0328,1,1502,USD,2026-03-15T16:34:10,completed,web
o000003,c00856,SKU0093,4,2216,USD,2026-03-26T13:54:08,cancelled,mobile
o000004,c00354,SKU0184,2,2912,USD,2026-01-27T21:09:41,completed,web
o000005,c00864,SKU0386,1,1908,USD,2025-11-22T08:49:05,completed,mobile
o000006,c00833,SKU0428,5,7465,USD,2026-01-21T05:54:13,completed,api
o000007,c00246,SKU0468,3,2214,USD,2026-04-19T11:17:36,cancelled,web
o000008,c00267,SKU0458,2,2314,USD,2026-04-08T22:33:53,completed,marketplace
o000009,c00859,SKU0199,1,1153,USD,2026-02-19T15:54:25,shipped,web
o000010,c00152,SKU0029,1,991,USD,2026-03-24T04:41:19,completed,mobile
o000011,c00956,SKU0300,1,11228,USD,2026-02-13T14:56:03,completed,web
o000012,c00162,SKU0484,1,1657,USD,2026-04-18T03:13:26,completed,marketplace
o000013,c00572,SKU0310,1,2775,USD,2026-02-27T20:25:53,completed,web
o000014,c00242,SKU0413,1,5541,USD,2026-04-15T04:16:56,cancelled,mobile
o000015,c00969,SKU0110,3,5502,USD,2026-01-02T07:17:15,completed,web
o000016,c00889,SKU0240,2,3490,USD,2026-02-19T20:20:31,completed,web
o000017,c00347,SKU0077,1,2877,USD,2026-03-02T07:53:18,refunded,marketplace
o000018,c00766,SKU0240,1,1745,USD,2026-04-04T19:04:32,completed,web
o000019,c00558,SKU0397,2,6048,USD,2026-03-03T20:26:26,refunded,web
o000020,c00164,SKU0134,2,4118,USD,2026-04-20T18:16:42,shipped,web
o000021,c00950,SKU0380,1,2803,USD,2026-02-16T15:04:10,completed,mobile
o000022,c00548,SKU0146,2,2556,USD,2026-04-02T03:18:12,completed,mobile
o000023,c00552,SKU0237,1,2864,USD,2026-02-27T09:14:46,completed,mobile
o000024,c00161,SKU0360,1,2885,USD,2026-03-17T10:30:25,cancelled,mobile
o000025,c00634,SKU0496,1,4695,USD,2026-04-23T10:08:02,completed,web
o000026,c00836,SKU0378,1,4682,USD,2026-04-06T18:05:10,completed,marketplace
o000027,c00376,SKU0022,1,890,USD,2026-04-25T03:05:11,cancelled,api
o000028,c00628,SKU0446,3,8553,USD,2026-04-09T20:03:39,refunded,web
o000029,c00345,SKU0029,1,991,USD,2026-01-15T19:28:12,completed,mobile
o000030,c00752,SKU0004,1,3346,USD,2026-03-17T20:34:16,completed,mobile
o000031,c00472,SKU0109,2,4384,USD,2026-01-29T23:59:40,completed,mobile
o000032,c00530,SKU0277,1,1657,USD,2026-01-26T21:29:52,cancelled,mobile
o000033,c00367,SKU0432,1,4370,USD,2026-02-23T00:28:52,completed,web
o000034,c00745,SKU0154,1,1745,USD,2026-01-26T16:07:55,completed,mobile
o000035,c00158,SKU0333,5,9065,USD,2026-04-03T23:01:42,completed,web
o000036,c00021,SKU0315,2,5496,USD,2026-01-25T22:19:22,completed,web
o000037,c00566,SKU0358,2,9778,USD,2026-04-13T15:09:45,cancelled,mobile
o000038,c00057,SKU0298,1,877,USD,2026-04-23T13:59:03,refunded,web
o000039,c00923,SKU0475,1,681,USD,2025-12-15T16:44:34,completed,web
o000040,c00879,SKU0314,1,4489,USD,2026-03-27T18:58:24,shipped,web
o000041,c00463,SKU0290,3,5781,USD,2026-03-04T08:29:29,shipped,mobile
o000042,c00434,SKU0435,1,2480,USD,2026-02-12T10:05:37,completed,mobile
o000043,c00240,SKU0120,2,3748,USD,2026-02-09T19:48:35,completed,web
o000044,c00446,SKU0302,1,1627,USD,2026-02-11T12:12:30,refunded,web
o000045,c00940,SKU0010,2,2184,USD,2026-01-12T23:14:13,completed,mobile
o000046,c00835,SKU0073,1,5362,USD,2026-03-31T00:29:03,refunded,web
o000047,c00633,SKU0454,1,1572,USD,2026-04-02T16:44:45,completed,web
o000048,c00983,SKU0017,1,1460,USD,2026-04-21T13:42:00,completed,web
o000049,c00153,SKU0166,2,2706,USD,2026-02-14T02:50:07,completed,mobile
